iter	Passed	Remaining
233	499	1635
234	500	1630
235	502	1625
236	503	1620
237	504	1615
238	505	1610
239	507	1606
240	508	1601
241	509	1596
242	510	1591
243	512	1587
244	513	1582
245	514	1578
246	516	1573
247	517	1568
248	518	1564
249	520	1560
250	521	1556
251	522	1551
252	523	1546
253	525	1542
254	526	1538
255	527	1534
256	529	1529
257	530	1525
258	531	1521
259	533	1517
260	534	1513
261	536	1509
262	537	1505
263	538	1501
264	539	1497
265	541	1493
266	542	1489
267	543	1484
268	544	1480
269	546	1477
270	548	1474
271	549	1471
272	551	1467
273	552	1463
274	553	1459
275	554	1455
276	556	1451
277	557	1447
278	558	1443
279	560	1440
280	561	1436
281	562	1432
282	564	1429
283	565	1425
284	566	1421
285	568	1418
286	569	1414
287	570	1410
288	571	1406
289	573	1403
290	574	1400
291	576	1398
292	578	1394
293	579	1391
294	580	1387
295	582	1384
296	583	1381
297	584	1377
298	585	1373
299	587	1370
300	588	1366
301	589	1363
302	591	1360
303	592	1356
304	593	1352
305	594	1349
306	596	1346
307	597	1343
308	599	1339
309	600	1336
310	601	1332
311	602	1329
312	604	1326
313	605	1322
314	606	1319
315	608	1316
316	609	1312
317	610	1309
318	612	1307
319	613	1303
320	614	1300
321	616	1297
322	617	1294
323	618	1290
324	620	1287
325	621	1284
326	622	1281
327	623	1278
328	625	1275
329	626	1272
330	627	1269
331	629	1265
332	630	1262
333	631	1259
334	633	1256
335	634	1253
336	635	1250
337	636	1247
338	638	1244
339	639	1241
340	640	1238
341	642	1235
342	643	1232
343	644	1229
344	646	1226
345	647	1223
346	648	1220
347	649	1217
348	651	1214
349	652	1211
350	653	1208
351	654	1205
352	656	1202
353	657	1199
354	658	1197
355	660	1194
356	661	1191
357	662	1188
358	664	1185
359	665	1182
360	666	1179
361	667	1177
362	669	1174
363	670	1171
364	671	1168
365	673	1166
366	674	1163
367	676	1161
368	677	1158
369	678	1155
370	679	1152
371	681	1150
372	682	1147
373	683	1144
374	685	1141
375	686	1139
376	687	1136
377	689	1133
378	690	1131
379	691	1128
380	692	1125
381	694	1123
382	695	1120
383	696	1117
384	698	1115
385	699	1112
386	700	1109
387	701	1107
388	703	1104
389	704	1101
390	705	1099
391	707	1096
392	708	1094
393	709	1091
394	710	1088
395	712	1086
396	713	1083
397	714	1081
398	716	1078
399	717	1076
400	718	1073
401	720	1071
402	721	1068
403	722	1066
404	723	1063
405	725	1061
406	726	1058
407	727	1055
408	729	1053
409	730	1050
410	731	1048
411	732	1045
412	734	1043
413	735	1041
414	736	1038
415	737	1036
416	739	1033
417	740	1031
418	742	1028
419	743	1026
420	744	1023
421	745	1021
422	747	1018
423	748	1016
424	749	1014
425	751	1012
426	752	1009
427	753	1007
428	755	1004
429	756	1002
430	757	1000
431	758	997
432	760	995
433	761	993
434	763	991
435	764	988
436	765	986
437	766	984
438	768	981
439	769	979
440	771	977
441	772	974
442	773	972
443	774	970
444	776	968
445	777	965
446	778	963
447	780	961
448	781	958
449	782	956
450	784	954
451	785	952
452	787	950
453	789	949
454	792	949
455	794	947
456	795	945
457	797	943
458	798	941
